Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
9.467,9.358,0.643,0.136,0.046,0.067,0.006,18,16,12,5,14,43,17,0.118,0.47,0.045,13.373,364.923,443.382,821.678,67.02,3384.431,4308.756,7760.207,34,39,43,Driving
9.469,9.374,0.883,0.22,0.075,0.079,0.006,22,22,16,1,4,42,27,0.089,0.063,0.76,19.924,629.807,690.262,1339.993,101.171,6721.963,7471.158,14294.292,40,41,37,Driving
9.409,9.25,1.554,0.494,0.171,0.187,0.005,24,22,20,3,10,42,37,2.34,0.91,0.251,37.797,947.72,959.883,1945.4,229.841,10284.618,10337.947,20852.406,38,42,40,Driving
9.422,9.329,1.545,0.681,0.255,0.3,0.013,21,21,20,2,6,44,31,3.69,1.47,4.29,38.82,1822.249,1998.541,3859.61,233.545,20786.127,23399.602,44419.274,45,37,42,Driving
9.635,9.604,1.737,0.542,0.219,0.236,0.017,19,24,14,3,4,43,25,0.67,2.63,4.57,39.385,963.355,1054.733,2057.473,240.604,10544.516,11456.135,22241.255,41,44,42,Driving
9.767,9.594,1.666,0.57,0.186,0.194,0.045,18,22,9,3,1,46,30,5.65,0.95,4.38,35.719,1405.538,1597.48,3038.737,210.72,16085.582,18602.995,34899.297,45,41,41,Driving
9.66,9.572,1.046,0.242,0.088,0.087,0.042,17,25,8,1,10,44,35,2.33,1.68,4.48,26.016,952.721,861.23,1839.967,149.072,10492.473,9379.339,20020.884,45,35,39,Driving
9.588,9.669,1.131,0.26,0.098,0.171,0.024,18,19,7,3,7,42,29,2.72,1.2,5.05,29.287,787.015,695.163,1511.465,170.121,8302.673,7138.606,15611.4,40,39,42,Driving
9.714,9.77,1.106,0.232,0.075,0.165,0.034,29,22,5,4,10,43,31,0.63,1.96,5.75,26.902,1069.846,972.72,2069.468,143.802,12003.831,10649.718,22797.351,47,37,41,Driving
9.686,9.672,1.166,0.349,0.12,0.131,0.04,23,25,6,3,14,43,37,1.16,0.52,4.21,25.676,907.166,945.331,1878.173,142.512,9990.64,10550.057,20683.209,37,36,34,Driving
9.538,9.49,1.253,0.333,0.127,0.12,0.025,20,22,10,2,10,42,31,1.23,2.55,4.48,29.126,1043.059,1052.822,2125.007,169.788,11430.345,11406.989,23007.122,42,34,31,Driving
9.501,9.425,0.903,0.2,0.071,0.08,0.004,20,18,14,2,6,43,25,0.071,0.85,0.51,21.042,733.287,787.595,1541.924,110.811,7927.093,8598.741,16636.645,46,46,38,Driving
9.553,9.496,0.703,0.142,0.051,0.061,0.012,21,21,9,3,5,38,17,1.12,1.97,3.33,15.323,639.62,656.637,1311.58,74.823,6459.397,6718.911,13253.131,43,39,39,Driving
9.622,9.609,0.647,0.123,0.047,0.06,0.028,17,19,9,4,1,37,17,1.07,0.241,0.045,16.115,581.47,462.067,1059.652,75.552,5995.399,4572.073,10643.024,34,35,35,Driving
9.558,9.605,0.881,0.219,0.078,0.091,0.014,20,25,10,1,2,47,32,0.76,1.58,3.48,21.529,782.568,785.813,1589.91,114.114,8169.474,8303.749,16587.337,47,41,41,Driving
9.484,9.512,0.868,0.324,0.124,0.125,0.004,20,26,9,1,2,43,33,0.9,0,0.57,20.703,670.598,647.824,1339.125,107.063,6994.735,6615.468,13717.266,32,40,38,Driving
9.48,9.507,0.579,0.233,0.085,0.085,0.004,18,24,10,8,4,43,25,0.361,0.141,0.2,13.618,529.742,572.674,1116.034,62.159,5201.241,5755.808,11019.208,41,37,38,Driving
9.455,9.479,0.465,0.127,0.042,0.056,0.004,28,28,11,3,13,42,27,0.56,0.179,0.79,10.615,390.96,438.67,840.245,47.372,3668.465,4186.395,7902.232,38,40,42,Driving
9.477,9.519,0.582,0.258,0.133,0.091,0.011,27,23,8,1,1,41,25,1.78,4.06,0.451,17.507,577.874,435.116,1030.497,80.864,6055.092,4287.559,10423.515,39,40,38,Driving
9.573,9.575,1.467,0.269,0.155,0.148,0.023,16,14,4,2,3,45,23,1.59,0.76,4.21,38.691,731.142,827.716,1597.549,230.497,7567.426,8877.593,16675.516,44,45,38,Driving
9.572,9.509,1.315,0.54,0.188,0.256,0.036,19,9,4,2,2,47,27,1.81,5.06,0.39,30.145,584.446,678.877,1293.468,169.682,6093.349,7222.135,13485.166,45,41,42,Driving
