Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
9.945,9.907,4.416,4.23,1.467,0.802,0.619,7,8,6,2,1,20,14,14.33,9.5,10.61,98.838,3331.405,1653.548,5083.791,816.446,44077.009,19607.892,64501.347,41,26,28,Walking
9.121,9.104,2.37,2.278,0.851,0.757,0.129,8,8,7,4,5,13,5,12.66,1.64,3.79,61.186,3155.755,2037.791,5254.732,502.345,41174.975,24877.169,66554.489,35,30,26,Walking
9.826,9.793,5.384,5.058,1.415,0.712,0.646,10,11,9,6,6,19,19,12.36,12.5,5.31,116.185,1868.006,2379.243,4363.434,941.618,22675.569,28228.479,51845.666,30,33,32,Walking
10.213,10.17,6.637,6.248,1.276,0.433,0.905,7,8,8,2,3,19,19,0.77,12.05,7.69,104.74,3299.131,1286.884,4690.755,804.973,41619.393,14406.487,56830.853,41,31,42,Walking
10.123,10.106,4.313,4.12,0.608,0.251,0.517,4,9,6,2,3,15,19,3.61,0.55,6.58,42.286,898.922,524.776,1465.984,333.888,9491.327,5145.86,14971.075,28,29,27,Walking
10.03,10.013,3.757,3.612,0.482,0.253,0.393,9,9,7,4,5,11,17,0.17,3.39,4.36,33.5,1592.226,878.766,2504.492,249.373,17692.539,9565.493,27507.405,22,26,26,Walking
10.256,10.237,5.27,5.114,0.671,0.346,0.481,6,8,6,5,5,11,13,7.85,8.14,0.87,45.1,1652.608,411.472,2109.18,350.162,18660.013,3904.835,22915.01,39,28,30,Walking
9.849,9.84,4.201,4.114,0.71,0.3,0.365,6,7,6,3,4,9,7,6.72,1.83,3,47.592,1627.873,613.433,2288.898,368.154,18707.227,6346.373,25421.754,28,30,28,Walking
9.751,9.741,4.02,3.852,0.587,0.411,0.398,6,11,8,2,3,9,7,2.46,2.13,2.93,40.047,832.227,1046.709,1918.983,319.042,8857.381,12213.946,21390.369,29,26,32,Walking
10.025,10.014,4.239,4.07,0.634,0.479,0.401,5,11,8,2,3,13,11,17.44,4.36,3.3,43.835,1016.691,1290.419,2350.945,350.426,11210.614,14773.643,26334.683,25,23,27,Walking
10.201,10.2,7.292,7.236,0.534,0.217,0.676,7,10,9,1,1,15,13,2.52,0.56,9.52,38.105,1342.363,424.184,1804.652,291.209,15092.198,4044.302,19427.709,38,29,31,Walking
10.12,10.092,9.398,9.248,0.439,0.315,0.887,7,8,9,2,2,19,15,2.32,7.66,8.25,33.511,1867.035,960.657,2861.203,220.978,21969.049,10150.498,32340.525,36,34,39,Walking
10.575,10.558,14.73,14.491,0.758,0.692,1.038,8,5,8,2,3,23,17,6.63,13.89,6.17,62.645,2355.479,2193.29,4611.414,450.217,28330.725,26013.931,54794.873,44,31,34,Walking
10.028,10.031,14.044,13.691,1.057,1.102,1.239,7,5,6,2,3,19,17,7.56,8.45,1.5,83.894,2393.077,4500.496,6977.467,672.181,30446.747,58359.515,89478.443,48,33,35,Walking
8.971,8.965,2.541,2.322,1.162,0.725,0.681,6,5,8,5,7,21,21,0.94,28.38,21.08,87.795,3429.843,2673.872,6191.51,697.524,43299.696,33079.358,77076.578,44,34,37,Walking
10.157,10.153,3.466,3.192,1.39,0.985,0.515,5,2,10,2,5,21,23,3.97,2.37,9.52,103.726,2810.867,1046.173,3960.766,874.53,34531.494,11317.811,46723.835,37,32,37,Walking
10.309,10.289,6.561,6.347,3.02,1.075,0.574,4,6,8,1,1,21,24,47.04,13.41,9,212.518,7593.392,3697.72,11503.63,2102.038,104497.658,46862.397,153462.093,37,36,31,Walking
10.324,10.289,7.777,7.54,4.342,0.565,0.469,5,9,8,2,2,19,23,28.51,10.05,13.38,299.008,10106.984,1004.912,11410.904,3156.971,140463.655,11288.334,154908.96,43,33,31,Walking
9.997,9.977,6.493,6.145,2.731,0.444,0.445,8,11,8,1,1,17,23,16.58,0.19,5.5,200.283,5532.906,1429.144,7162.333,1843.556,74754.901,15978.825,92577.282,41,27,33,Walking
9.813,9.765,4.038,3.637,1.823,2.431,0.847,11,7,8,2,1,29,25,13.6,24.76,0.86,144.155,5536.949,7323.343,13004.447,1219.607,74130.764,109931.552,185281.923,43,31,31,Walking
11.062,11.004,2.64,2.475,2.355,2.734,0.653,7,5,6,2,3,23,17,4.08,30.87,0.63,169.564,2585.748,8499.573,11254.885,1581.822,30903.794,128633.157,161118.773,38,35,35,Walking
12.084,12.058,4.522,4.409,3.216,1.042,0.186,4,8,5,4,4,15,14,27.04,19.58,3.42,220.257,4533.653,1482.957,6236.867,2255.631,59441.576,16756.649,78453.856,44,36,25,Walking
12.886,12.871,4.452,4.353,4.37,1.131,0.414,3,9,7,3,4,15,13,32.17,21.42,0.76,302.413,11835.344,2051.847,14189.604,3108.083,167656.091,24877.173,195641.347,43,23,28,Walking
14.073,14.068,2.68,2.603,5.548,1.518,0.71,2,6,8,5,5,21,13,14.19,7.97,7.65,383.679,16712.283,4820.112,21916.074,4032.713,255012.17,64167.23,323212.113,41,32,28,Walking
15.027,14.969,7.626,6.94,15.14,2.299,0.877,5,8,10,2,2,22,16,28.61,2.3,2.77,1057.6,32184.683,6425.494,39667.777,12566.705,517088.185,86168.081,615822.971,45,29,29,Walking
13.463,13.387,11.023,10.181,13.731,1.709,0.76,7,6,14,2,2,15,15,18.73,11.86,1.07,969.161,36152.357,3471.592,40593.11,11236.921,593039.011,46026.148,650302.08,37,28,33,Walking
12.111,12.083,3.116,2.876,3.011,1.181,0.613,7,10,12,6,9,19,19,3.86,8.91,9.29,247.01,9230.97,2771.765,12249.745,2240.39,126821.022,35635.762,164697.174,45,39,36,Walking
11.324,11.259,4.033,3.717,2.673,1.102,0.54,4,12,11,6,7,20,16,1.92,2.63,0.44,226.744,3352.892,3610.732,7190.368,2087.173,41687.079,46734.689,90508.941,32,26,32,Walking
10.444,10.381,3.333,3.043,2.166,0.318,0.314,4,11,10,2,3,20,12,8.38,4.19,7.99,161.54,5619.072,1200.266,6980.878,1452.067,81982.073,13086.473,96520.613,34,33,32,Walking
10.811,10.796,2.914,2.869,1.811,0.834,0.17,7,7,8,2,3,13,9,10.85,0.87,0.349,126.419,5663.202,1907.614,7697.235,1199.962,75290.083,23089.482,99579.527,47,27,27,Walking
10.886,10.864,1.647,1.6,1.012,0.843,0.207,8,9,6,2,2,16,10,22.83,0.58,0.118,74.422,2062.868,2285.422,4422.712,585.62,25291.671,27346.741,53224.032,40,37,28,Walking
11.235,11.22,1.594,1.542,1.058,0.416,0.184,8,8,9,4,4,24,9,3.18,9.99,2.07,73.336,2447.38,708.432,3229.148,590.899,28910.705,7478.247,36979.851,49,41,28,Walking
10.557,10.496,5.921,5.318,3.891,0.812,0.59,9,7,9,4,2,19,13,49,7.48,7.62,341.474,9759.156,2055.651,12156.281,3146.241,146266.999,23945.731,173358.971,38,32,30,Walking
10.264,10.171,6.394,5.725,5.48,1.177,1.286,8,7,7,5,3,21,25,32.26,1.63,5.51,462.626,18941.953,2813.412,22217.991,4613.092,303120.595,36538.641,344272.328,43,33,32,Walking
10.801,10.698,5.568,5.054,3.902,1.217,1.77,9,6,10,1,5,21,24,17.81,6.15,1.79,285.983,6768.443,2367.674,9422.1,2812.302,92681.767,29297.193,124791.262,46,37,34,Walking
11.57,11.413,8.538,7.244,4.076,2.728,1.836,13,4,12,1,3,25,26,48.42,27.76,1.94,318.093,7196.928,3570.996,11086.017,3119.935,96690.801,45043.382,144854.118,50,37,37,Walking
10.726,10.602,9.351,7.894,4.367,2.672,1.24,9,10,10,1,3,29,31,2.07,24.65,1.6,338.716,10523.85,8578.252,19440.818,3378.626,148768.432,120543.912,272690.97,42,31,35,Walking
9.296,9.245,6.349,5.797,2.312,0.599,1.033,8,7,8,4,3,25,25,13.52,17.88,1.93,173.359,4923.588,2086.286,7183.233,1650.094,64161.82,25056.924,90868.838,47,31,29,Walking
9.573,9.558,5.961,5.704,1.061,0.309,0.675,11,4,9,4,3,23,21,13.81,2.33,6.45,76.419,3781.684,560.224,4418.327,604.68,51343.044,5449.568,57397.292,40,32,34,Walking
9.941,9.933,5.361,5.12,1.554,0.532,0.259,7,4,7,3,7,16,20,1.61,3.13,4.19,105.771,3122.767,356.401,3584.939,948.177,39084.939,3351.28,43384.396,31,25,29,Walking
10.021,10.014,5.206,5.095,1.699,0.697,0.256,4,3,8,4,5,13,17,2.08,0.81,5,115.707,2087.336,1672.422,3875.465,1177.632,24595.161,19258.85,45031.643,30,29,35,Walking
10.011,10.007,4.407,4.317,1.355,0.634,0.246,4,4,9,6,6,15,15,11.33,0.23,2.34,91.336,1107.705,2479.058,3678.099,858.066,12414.092,29652.854,42925.012,35,30,26,Walking
10.083,10.081,4.243,4.144,1.465,0.414,0.26,5,4,8,5,6,15,13,9.4,0.54,2.71,99.564,3987.194,937.437,5024.195,894.841,50898.61,9760.573,61554.024,31,30,26,Walking
10.053,10.038,4.713,4.4,1.789,0.548,0.628,10,4,8,4,4,18,16,12.01,3.57,2.3,129.772,6479.929,420.392,7030.093,1144.179,88043.01,4033.782,93220.971,35,27,34,Walking
10.088,10.069,7.219,6.846,1.946,0.557,0.721,10,4,8,3,3,18,18,0.56,7.39,0.98,139.049,5333.413,365.856,5838.318,1256.169,72332.824,3566.873,77155.866,30,34,38,Walking
9.297,9.291,7.373,7.219,1.964,0.756,0.404,5,4,5,3,3,13,17,0.148,17.93,9.94,133.087,4229.388,1225.9,5588.375,1284.676,54138.742,13168.14,68591.558,34,21,34,Walking
